scenario,text_length_bucket,samples,num_edits,ref_len,error_rate,empty_output_rate,hallucination_like_rate,repeat_like_rate,too_long_rate,too_short_rate
clean,long,15,5,372,0.013441,0.0,0.0,0.0,0.0,0.0
clean,short,15,0,107,0.0,0.0,0.0,0.0,0.0,0.0
dropout,long,15,287,372,0.771505,0.0,0.466667,0.0,0.0,0.866667
dropout,short,15,77,107,0.719626,0.0,0.333333,0.0,0.0,0.733333
far_field,long,15,338,372,0.908602,0.0,1.0,0.533333,0.0,0.533333
far_field,short,15,92,107,0.859813,0.0,0.666667,0.133333,0.0,0.0
noise,long,15,140,372,0.376344,0.0,0.0,0.0,0.0,0.0
noise,short,15,21,107,0.196262,0.0,0.066667,0.0,0.0,0.0
reverb,long,15,168,372,0.451613,0.0,0.133333,0.066667,0.0,0.0
reverb,short,15,31,107,0.28972,0.0,0.0,0.0,0.0,0.0
