module_name,class_name,candidate_group,direct_param_count,has_weight,weight_shape,direct_param_dtypes
model,Qwen3ASRForConditionalGeneration,,0,False,,
model.thinker,Qwen3ASRThinkerForConditionalGeneration,,0,False,,
model.thinker.audio_tower,Qwen3ASRAudioEncoder,,0,False,,
model.thinker.audio_tower.positional_embedding,SinusoidsPositionEmbedding,,0,False,,
model.thinker.audio_tower.layers,ModuleList,,0,False,,
model.thinker.audio_tower.layers.0,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.0.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.0.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.0.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.0.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.0.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.0.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.0.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.0.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.0.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.0.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.1,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.1.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.1.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.1.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.1.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.1.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.1.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.1.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.1.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.1.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.1.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.2,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.2.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.2.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.2.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.2.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.2.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.2.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.2.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.2.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.2.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.2.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.3,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.3.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.3.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.3.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.3.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.3.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.3.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.3.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.3.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.3.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.3.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.4,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.4.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.4.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.4.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.4.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.4.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.4.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.4.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.4.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.4.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.4.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.5,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.5.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.5.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.5.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.5.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.5.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.5.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.5.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.5.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.5.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.5.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.6,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.6.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.6.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.6.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.6.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.6.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.6.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.6.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.6.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.6.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.6.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.7,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.7.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.7.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.7.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.7.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.7.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.7.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.7.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.7.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.7.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.7.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.8,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.8.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.8.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.8.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.8.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.8.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.8.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.8.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.8.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.8.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.8.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.9,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.9.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.9.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.9.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.9.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.9.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.9.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.9.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.9.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.9.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.9.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.10,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.10.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.10.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.10.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.10.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.10.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.10.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.10.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.10.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.10.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.10.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.11,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.11.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.11.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.11.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.11.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
